	pl	csb
31	Zgrywanie.	Zgrëwanié
32	Skalibrowanie- gładkie	Skalibrowanié- głôdczé
33	odpowiadające rozszerzenie	òdpòwiadającé rozszérzenié
34	Koncentrator	Kòncentratora
35	Tylko użyj czarnego wygaszacza ekranu	Brëkùjë le pùstégò wëgaszôcza ekranu
36	Powiadamianie	Pòwiadomienié
37	Upuść tutaj, by skopiować lub przenieść wybrane czcionki do folderu osobistego.	Pùszczë tuwò bë skòpiowac abò przeniesc wëbróné fòntë do personowégò katalogù.
38	nie jest	nie je
39	Paleta kolorów	Paléta farwów
40	Kolor wyłączonych elementówno disabled color effect	Wëłączony ôrt efektu farwë
41	Zabezpiecz przed blokadą	Zabezpieczë przed blokòwaniém
42	autor kfm	Ùsôdzca kfm
43	Pierwszy przebieg wydruku nakładanego	Pierwszé òdbëcé nakłôdóniégò wëdrëkù
44	Pokaż pasek pomocniczy	Pòkôżë listew chùtkòscë
45	Dinar kuwejckiName	Kùwajtsczi DinarName
46	Menu pokazujące się po kliknięciu prawym przyciskiem myszyName	Menu wëskrzëniwóné zwëczajno pò klëkniãcô prawą knąpąName
47	Przełącz na styl menu Kickoff	Przełączë do sztélu menu Kickoffa
48	Możliwe, że podany zasób nie istnieje.	Mòżlëwé, że to nie dô pòdónegò dostónka.
49	Różne typy list odtwarzania	Rozmajiti wëkònywaczë
50	1 zszywka, skośnie	1 zszëwka, szrôc
51	Menedżer okien o małych wymaganiach, potrafiący doczepić wiele okien do jednego obramowaniaName	Menadżera òknów ò môłëch żądaniach, rozmiejący doczepic wiele òknów do jedny ramëName
52	Historia schowka	Historëja tacnika
53	Nastąpi przetestowanie wybranego motywu.	Testowanié wëbróny témë.
54	"operator logiczny ""lub"" (or) Name"	logiczny òperatora abòName
55	Podstawowe operacje zarządzania energiąName	Spòdlowé òperacejë sprôwiania mòcąName
56	720 x 360 dpi Softweave jednokierunkowy	720 x 360 dpi Softweave jednoczérënkòwi
57	Klaster (standardowy)	Klaster (Sztandardowi)
58	Dostosowywany hybrydowy	Dopasowóny hibridowi
59	Licznik odtwarzania	Rechòwnik graniô
60	Wybrano pierwszy pulpitName	Wëbróny wirtualny pùlt 1Name
61	Nie można utworzyć Layout.	Nie mòże ùsôdzëc Ùkładu.
62	Wybierz	Wëbiérzë
63	Wybierz motyw wyglądu KDE:	Wëbiérzë témã wëzdrzatkù KDE:
64	Właściwości działania	Swòjiznë dzejania
65	& Wczytaj ostatnią sesję	& Wladëjë slédną sesëjã
66	Program próbuje wykonać akcję, która wymaga uprawnień. Do wykonania tej akcji potrzebne jest uwierzytelnienie jako jeden z poniższych użytkowników.	Aplikacëjô próbùje wëkonac dzejanié jaczé wëmôgô wëższich prawów. Wëmôgóné je ùdowiérzenié przez jednégò z brëkòwników wëpisónëch niżi.
67	Serwer Nepomuka nie działa. Ustawienia zostaną wykorzystane po jego następnym uruchomieniu.	Serwera Nepomuk nie robi. Nastôwë bãdą w ùżëcym przë pòstãpnym zrëszeniu serwerë.
68	& Powtórka	& Pòwtórzenié
69	Colon kostarykańskiName	Kòstarëkóńsczi KòlonName
70	Azja/ Kashgar	Azëjô/ Kashgar
71	poślizg podczas przełączania kart	Pùrgôj przë przë zmianié kôrtów
72	Informacja o liście odtwarzaniaName	Wëdowiédza ò lësce graniôName
73	ŁotewskiName	ŁotewscziName
74	Kopia wejścia	Kòpérëjë weńdzenié
75	Wstaw & separator	& Wlepi separator
76	Okienko dialogowe do konfiguracji wyniku debugowania	Dialogòwi òkno do kònfigùracëji wińdzenia debùgòwaniô
77	Pojemnik z czarnym tuszem	Zabiérnik z czôrną tintą
78	Ameryka/ Kordoba	Amerika/ Kòrdoba
79	Azja/ Bangkok	Azëjô/ Bangkok
80	Konfiguracja stylu przesuwania okienName	Kònfigùracëjô sztélu przesëwaniô òknówName
81	Rodzina czcionek	Rodzëzna fòntu
82	Ouguiya mauretańskaName	Maùretańskô OuguiyaName
83	Utwórz nowy znacznik: @ info	Ùsôdzë nowi znakòwnik: @ info
84	Automatyczne uruchomienieComment	Aùtomatné zrëszaniéComment
85	Konfiguruj monitorowanie akumulatora	Kònfigùrëjë pòdzérôcz stónu baterëji
86	Niestety, przeszukiwanie kolekcji musiało zostać przerwane. W trakcie przeszukiwania znaleziono zbyt wiele błędów.	Żôl, le skanowanié kòlekcëji mùszi bëc òprzestóné. Za wiele felów òbczas skanownaiô.
87	Wstępne filtrowanie GhostScriptu	Pre- filtrowanié GhostScriptu
88	Rozszerzenie Composite nie było dostępne w czasie kompilacji. Prawdopodobnie nie były zainstalowane pliki nagłówkowe Xorg.	Compositing bëł wëłączony w czase kòmpilacëji. Mòżlëwé, że nagłówczi Xorg nie bëłë winstalowóné.
89	BiałoruskiName	BiałoruscziName
90	Dekoder Musepack dla K3bComment	Dekòder Musepack dlô K3bComment
91	Menu najwyższego poziomuQShortcut	MenuQShortcut
92	Brak pliku do faksowania.	Felënk lopkù do faksowaniô.
93	Punkt montowania	Pùnkt mòntowaniô
94	Monitor użycia dyskuName	Mònitór brëkùnkù cwiardi platëName
95	Utwórz nowy motyw poprzez przypisanie mu nazwy. Następnie użyj przycisku Dodaj po prawej, aby dodać emotikony do tego motywu.	Zaczni nową témã przez dodanié ji miona. Téj ùżëjë knãpë Dodôj z prawa bë dodac emòtikònë do ti témë.
96	Modyfikuj filtr	Mòdifikùjë filtr
97	Aplet tacki systemowej zmiany rozmiaru i obrotu X	Aplet systemòwégò zabiérnika zmianë miarë ë òrientacëji
98	Cyganka	& Cëgónka
99	& Zwiń	& Zwinie
100	Strony od	PgDownQShortcut
101	ProcesorComment	ProcesoraComment
102	Na prawo	Na prawò
103	Tutaj można zmienić czas systemowy. Kliknij w polu godzin, minut lub sekund i ustaw nową wartość przy użyciu przycisków 'góra' i 'dół' lub po prostu wprowadź ją.	Tuwò mòżesz zmienic systemòwi czas. Klëkni na pòle gòdzënów, minutów abò sekùndów bë zmienic apartną wôrtnotã, brëkùjąc abò knąpów dół a góra z prawi abò wpisëjąc nową wôrtnotã.
104	"Dziel i rządź (łac. ""Divide et impera"") - poprzez podzielenie okna na dwie części (np. Okno - > Podziel widok w pionie) możesz dostosować wygląd Konquerora do własnych potrzeb. Możesz również wybrać z kilku przykładowych profilów widoku (np. Midnight Commander) lub utworzyć własne."	"Divide et impera (łac. ""Dzelë ë rządzë"") - przez pòdzelenié òkna na dwa dzéle (np. Òkno - > Pòdzelë wëzdrzatk: prawò/ lewò) mòżesz dopasowac wëzdrzatk Konquerora do swòjëch ùżiwków. Mòżesz téż wëbrac z cziles przëmiôrów profilów wëzdrzatkù (np. Midnight Commander) abò ùsôdzëc swòje."
105	p, li {white- space: pre- wrap;} Procesy będą działać kiedy to tylko możliwe. Wyższy priorytet niż w grupie zwykłych lub wsadowych. Jest podział czasu (timeslicing).	p, li {white- space: pre- wrap;} Procesë bãdą robic jak to bãdze blós mòżlëwé. Wëższi prioritet jak w karnie zwëczajnych abò wsadowich, Je pòdzelënk czasu (timeslicing).
106	Gra doskonaląca pamięć	Gra wspòmôgôjącô pamiãc
107	Włącz grupowanie okien	Właczë grëpòwanié òknów
108	Przywróć paski narzędziowe	Doprowôdzë listew nôrzãdzów nazôd
109	Nie można odczytać danych z programu.	Nie mòże òdczëtac pòdôwków z programë.
110	Nie wyświetlaj typu MIME podanych plików	Nie wëpisujë ôrtów mime nëch lopków
111	Opcje dekoracji	Òptacëje dekòracëji
112	Poziom trudności.	Równiô drãgòscë.
113	Somoni tadżyckieName	Tadżykistónsczé SomoniName
114	Skrzynka pocztowa 13 (twarzą w dół)	Pòcztowô kastka 13 (drëkã w dół)
115	Normalny (8 kolorów)	Zwëkòwi (8 farwów)
116	Pozostawia nierozpoznane słowo bez zmian. Jest to sensowne, gdy słowo jest nazwą własną, skrótem, słowem obcym lub innym poprawnym słowem, którego używasz, ale nie chcesz go dodać do słownika.	Klëkni tuwò bë òstawic wińdzenié nieznónegò słowa. Ne dzejanié je pòmòcné jeżlë słowò je mionã, akronimã, cëzym słowã, abò taczim, jaczégò chcesz terô brëkòwac, le nie chcesz dac gò do słowarza.
117	& Podaj nazwę zestawu kolorów:	& Wpiszë miono dlô palétë farwów:
118	Nie podano pliku docelowego.	Nie pòdóno miono docélowégò lopkù.
119	Zaznacz wszystko	Wëbiérzë wszëtkò
120	Błąd drukowania	Fela drëkù
121	Próba zapisu do pliku% 1 została odrzucona.	Próba pisaniô do lopka% 1 òsta òdrzuconô.
122	Zaznacz tą opcję, jeśli chcesz, aby ikony były wyrównywane do siatki. Gdy ta opcja jest zaznaczona, ikony są automatycznie przyciągane do najbliższej komórki siatki, gdy przenosisz je w dowolne miejsce widoku.	Wëbierzë na òptacëjã, jeżlë ikònë mają bëc ùłożoné przë mrzéżce. Jeżlë na òptacëjô je włączonô, to ikònë bãdą aùtomatno wërównóné do niewidzawny mrzéżczi.
123	Strefa czasowa	Czasowô cona
124	Powolne klawisze zostały wyłączone.	Pòwólné klawisze òstałë wëłączoné.
125	Kontroler procesu	Kòntroléra procesu
126	Wyświetlaj jako siatkęthumbnail-size	thumbnail-size
127	1440 x 720 DPI cztery przebiegi	1440 x 720 DPI sztërë òdbëca
128	Aby użyć tej opcji, musisz mieć połączenie z Internetem. Otworzy to nowe okno, w którym zostanie wyświetlona lista motywów emotikon ze strony http: // www. kde. org. Klikając przycisk Instaluj przy wybranym motywie, zainstalujesz motyw na komputerze.	Nót je bëc pòdłączonym do jinterneta bë ùżëc ti akcëji. Dialogòwi òkno pòkaże lëstã témów emòtikònów ze starnë http: // www. kde. org. Klëkni na knąpã Instalëjë sparłączoną z témą bë zainstalowac ją na kòmpùtrze.
129	Moduł prezentujący trójwymiarowy widok cząsteczek; wykorzystuje OpenGLName	Mòduł pòkazëjący trzëmiarowé mòlekùłë (zwëskô z OpenGL) Name
130	Wystąpił błąd podczas zapisu obrazka:% 1	Pòkôża sã fela przë zapisënkù òbrôzka:% 1
131	Przeźroczystości	Przezérnote
132	O mnieName	Ò mieName
133	Funt libańskiName	Libańsczi FùntName
134	Błąd podczas pobierania raportu o błędzie% 1. Proszę poczekać chwilę i spróbować ponownie. @ info	Fela ladowaniô rapòrtu ò felë% 1. Proszã kąsk pòżdac ë spróbòwac znowa. @ info
135	Wszystkie pulpity	Wszëtczé pùltë
136	Zachowanie & myszy	Ùchòwanié & mëszë
137	Inne, osobisty	Jinszé, priwatny brëkùnk
138	Długość wyciszenia w milisekundach.	Długòta wëcëszenia w milisekùndach.
139	Do określenia zainteresowań, zwyczajów lub zachowania	Do òtaksowaniô zajimnotów, zwëków abò sprôwianiô sã
140	Nie jest równy	Nie je równy
141	Modyfikuj wybraną emotikonę, aby zmienić jej ikonę lub tekst	Editëjë wëbróną emòtikònã bë zmienic ji ikònã abò tekst
142	Przywróć ten plik lub katalog w miejsce, skąd został skasowany	Przewracô nen lopk abò katalog do tegò môla z jaczégò òstôł chùdzy rëmniãti
143	Brak zezwolenia na przerwanie aktywnych sesji: @ title: column	Felëje zezwòlëniô na przerwanié aktiwnëch sesëji: @ title: column
144	Konfiguracja niskopoziomowych ustawień sieciowych np. limitu czasuName	Kònfigùracëjô sécowëch nastôwów jakno np. limitu czasuName
145	Oprawianie wzdłuż krótszej krawędzi	Òprôwianié zdłużą krótszégò rańtu
146	Menu rozwijane:	Rozwijóné menu:
147	Format:	Fòrmat:
148	Automatyczne & zmieniaj karty:	& Aùtomatno przełącziwô kôrtë:
149	& Przezroczystość	Przezérnota
150	Zarządzanie siecią przy użyciu demona Wicd. GenericName	Sprôwianié sécë ùżëwające demóna Wicd. GenericName
151	Tylko jeśli pasek zadań jest pełny	Blós jak listwa dzejaniów je fùl
152	Oprawa dla wydruków dwustr.	Òprôwk dlô dwastar. wëdrëków
153	Pokaż komentarze	Wëskrzëni dopòwiescë
154	Odbicie poziome	Hòrizontalné òdbicé
155	Ocean_ Atlantycki/ St_ Helena	Atlantëcczi_ Òcean/ St_ Helena
156	Szuka okien, których nazwa, klasa lub rola pasuje do: q:. Możliwa jest interakcja z oknami poprzez użycie jednego z następujących słów kluczowych: aktywuj, zamknij, min( imalizuj), maks( ymalizuj), pełny ekran, zwiń, nad innymi oknami oraz pod innymi oknami.	Szëkô òknów, chtërnych miono, klasa abò rola pasëje do: q:. Mòżlëwô je interakcëjô z òknama przez ùżëcé jednegò z nôslédnych kluczowich słów: aktiwùjë, zamkni, min( imalizëjë), maks( ymalizëjë), fùl ekran, zwinie, nad jinszima òknama ë pòd jinszima òknama.
157	Zapełnij ponownie	Zafùlëjë znowa
158	Rozszerzenie Composite zostało wyłączone przez inny program. Możesz wznowić je kombinacją klawiszy '% 1'.	Compositing òstôł zastãpiony przez jinszą aplikacëjã. Mòżesz gò zrëszëc skrodzëną '% 1'.
159	Pierwszy obiektalign-reference-type	align-reference-type
160	Bądź wolny.	Bãdzë wòlnym.
161	Skróty zmienione	Skrodzënë zmienioné
162	Kolor, zmodyf. Floyd- Steinberg, CMYK, szybciej	Farwa, zmòdif. Floyd- Steinberg, CMYK, chùtczi
163	Excite - wyszukiwarka stron WWWQuery	Excite - szëkôrz starnów WWWQuery
164	Wewnętrzna nazwa używanego widoku	Bënowé miono brëkòwónegò wëzdrzatka
165	(TLS/ SSL v2/ 3) dla bezpiecznych połączeń do 168bit	(TLS/ SSL v2/ 3) dlô bezpiekù parłączeniów do 168bit
166	Ameryka/ Indiana/ Indianapolis	Amerika/ Indiana/ Indianapolis
167	% 1 pkt: w sumie za ten poziom	% 1 pkt: Całownô wëszłosc za tã równiã
168	Być może wystąpił błąd w protokole, a serwer przerwał połączenie w reakcji na ten błąd.	Mòże pòkôza sã fela w protokòle, a serwer przerwôł sparłãczenié w reakcëji na nã felã.
169	Nazwa programu	Miono programë
170	Zakładki Amaroka	Załóżczi
171	Przeźroczysty	Przezérny
172	JavaScript wyłączony (globalnie). Włącz JavaScript tutaj.	JavaScript wëłączony (globalno). Włączë JavaScript tuwò.
173	Dodaj nowy wzorzec dla zaznaczonego typu plików.	Dodôj nowi mùster dlô wëbrónëch ôrtów lopków.
174	"Ta opcja pozwala określić okna, dla których Klipper nie będzie wywoływał ""działań"". Użyj xprop _BAR_ grep WM_ CLASS w terminalu, by znaleźć wartość WM_ CLASS danego okna. Następnie kliknij na oknie programu, dla którego chcesz wyłączyć działania. Podaj tu pierwszą wartość po znaku '='."	"Na òptacëjô pòzwôlô òtaksowac òkna, dlô chtërnëch Klipper nie mdze wëwòłiwôł ""dzejań"". Brëkùjë xprop _BAR_ grep WM_ CLASS w terminalu, bë nalezc wôrtosc WM_ CLASS danego òkna. Zôs klëkni na òknie programë, dlô chtërny chcesz wëłączëc dzejania. Napiszë tuwò pierszą wôrtosc pò céchù równoscë."
175	"Aby utworzyć na pulpicie odnośnik do aktualnej strony, po prostu przeciągnij etykietę ""Adres"" po lewej stronie paska adresu, upuść ją na pulpit i wybierz ""Dowiąż tutaj""."	"Bë ùsôdzëc na pùlce lënk do aktualny starnë, przecygni zwëczajno etikétã ""Adresa"" pò lewi starnie adresowi listwë, ùpùszczë jã na pùlt ë wëbierzë ""Lënkùjë""."
176	Tekst identyfikacji przeglądarki, wysyłany do odwiedzanych serwerów. Można go zmienić za pomocą dostępnych opcji.	Tekst identifikacëji przezérnika, sélóny do odwiedzónëch serwerów. Mòże gò zjinaczëc z pòmòcą przëstãpnëch optacëji.
177	ZignorowaneName	IgnorowónéName
178	OdtwórzName	GrôjName
179	LEO - dwustronny słownik angielsko- niemieckiQuery	LEO - dwastarnowi anielskò- miemieccziQuery
180	Wymuś blokowanie sesji	Wëmùszë zablokòwanié sesëji
181	Czas połączenia został przekroczony	Sparłãczenié przerwóne
182	Działanie przypisane do podwójnego kliknięcia na przycisku menu. Jeśli masz wątpliwości, nie zmieniaj tego ustawienia.	Dzejanié przepisóné do dëbeltnégò klëkniãcô na knąpie menu. Jeżlë trëchlësz, nie zmieniwôj negò nastôwù.
183	Potężnyview-size	view-size
184	Zmień format tytułu karty dla poleceń zdalnych	Editëjë brëkòwóny fòrmat titla dlô zrëszónych daleczich pòlétów
185	Poprzedni podzielony widok	Wczasniészi pòdzelony wëzdrzatk
186	600 dpi, najlepszy, kolor, atramenty czarny + kolorowy	600 dpi, nôlepszi, farwa, tintë czôrny + farwny
187	Przełącz użytkownika	Przełączë brëkòwnika
188	Bezpieczna@ item: inmenu session type	Bezpiecznô@ item: inmenu session type
189	Stan procesu:% 1% 2Użycie procesora w trybie użytkownika:% 3% Użycie procesora przez system:% 4%	Status procesu:% 1% 2Brëkùnk CPUprzez brëkòwnika:% 3% Brëkùnk CPU przez systemã:% 4%
190	Wstaw znacznik & miejsca	Wstawi znakòwniczi & placu
191	Wznów (CONT)	Biéj dali (CONT)
192	WindowMaker (3 klawisze modyfikatorów) Name	WindowMaker (3 klawisze zjinaczi) Name
193	Wg rozmiaru	Wedle miarë
194	% 1 (% 2 -% 3x% 4 pikseli)	% 1 (% 2 -% 3x% 4 pikselów)
195	Ogólne@ title: tab	Òglowé@ title: tab
196	Nazwa: @ title: window	Miono: @ title: window
197	Wewnętrzna baza danych	Zaktualni bazã pòdôwków
198	Bardzo pogrubiona	Ultra grëbi
199	Tryb dzielenia (równy podział)	Trib dzéleniô (równy rozdzél)
200	Nazwa dokumentu	Miono dokùmentu
201	Program zażądał zmiany tych ustawień lub została użyta kombinacja kilku gestów klawiatury.	Programa zażãda zmianë tëch nastôwów abò òsta ùżëtô kòmbinacëjô cziles gestów klawiaturë.
202	& Wszystkie pulpity	& Wszëtczé pùltë
203	Zmiana rozmiaru i orientacji	Zmiana miarë i òrientacëji
204	Staroitalski	Stôroitalsczi
205	360x360dpi, kolor, zwykły papier	360x360dpi, farwa, zwëkòwi papiór
206	Trójkolorowy RGB	Trzëfarwny RGB
207	Tworzy nową paletępalettes-action	palettes-action
208	36 MB lub więcej	36 MB abò wicy
209	Contone (4096 kolorów)	Contone (4096 farwów)
210	"Upuść tutaj, by dodać wybrane czcionki do ""% 1""."	"Pùszczë tuwò bë dodac wëbróné fòntë do ""% 1""."
211	Pozwól na zatrzymanie wyjścia kombinacją Ctrl+S	Zezwòlë ùspic wińdzenia przë klëkniãcu Ctrl+S
212	Pokazuj ikonę w tacce systemowej.	Pòkazëjë ikònã w systemòwim zabiérnikù.
213	Odstęp	Rozstãp
214	Przełącz okno listy odtwarzania	Przełączë przédne òkno
215	Kanały wyjściowe	Kanałë wińdzeniô
216	Uruchom program pocztowyQShortcut	Zrëszë mailQShortcut
217	Funt (Święta Helena) Name	Fùnt ze Swiãti LenëName
218	Format obrazu GIF	Fòrmat òbrôzu GIF
219	Zakończ tryb pełnoekranowy	Zakùńczë fùlekranowi trib
220	60 punktów	60 pùnktów
221	Moduł konfiguracji ikon	Mòdul sprôwiania ikònama
222	Przesuń w & górę	Przeniesë w & górã
223	Tylko pod kursorem	Blós pòd kùrsorã
224	Autor	Ùsôdzca
225	Monochromatyczny (1 bpp)	Mònochromatikòwi (1 bpp)
226	Tło podpowiedzi	Spòdlé pòdpòwiescë
227	Wybranie tej opcji spowoduje, że zaznaczony tekst nie będzie dopisywany do historii schowka - znajdą się tam jedynie fragmenty jawnie kopiowane do schowka.	Wëbiérk ti òptacëji sprawi, że zaznaczony tekst nie mdze dopisywóny do historëji tacnika - mdã henë blós dzéle jawno kòpiérowóné do tacnika.
228	Graficzny interfejs do DCTCGenericName	Graficzny interfejs dlô DCTCGenericName
229	& Drukuj	Print
230	Wybierz pliki...	Wëbierzë lopczi...
231	Pokaż menu operacji	Pòkôżë menu òperacëji
232	Nie udało się przeprowadzić synchronizacji okładek iPoda	Ni mòże zsynchronizowac grafików z iPoda
233	Przesuwanie tego suwaka ustawia pozycję panelu	Przësënié nen sztripk bë nastawic môl panela
234	PakistanName	PakistónName
235	Nie udało się zainicjalizować kontekstu PolicyKit	Nie darzëło sã zajinicjalizowac kòntekstu PolicyKit
236	Wtyczka do obsługi danych KFileWriteName	Wtëkôcz KFileWriteName
237	Czcionka, którą wyświetlany jest tekst oznaczony jako bezszeryfowy.	Fònt, jaczi wëskrzëniô tekst jakno bezszerifòwi.
238	Tryb demo. Kliknij myszą aby zatrzymać.	Trib demò. Klëkni klawiszã mëszë bë zatrzëmac.
239	Wyświetl & tytuły okien	Wëskrzëni & title òknów
240	Łączenie z odległym serwerem...	Łączba z daleczim serwerã...
241	Wyjaskrawianie- szczegółowe	Wëjaskranié- z detalama
242	Połączenie LDAP anulowane.	Pòłączenié LDAP òprzëstóné
243	Dinar sudańskiName	Sudańsczi DinarName
244	Oznaczenie liczb & ujemnych:	Òznaczenié ùjimnëch lëczbów:
245	Najciemniejszy	Nôcemniszy
246	Katalog głównyKFile System Bookmarks	Przédny katalog (root)
247	"Port% 1: ""% 2"""	"Pòrt% 1: ""% 2"""
248	EtiopskiName	EtiopscziName
249	Klasyczny	Klasykòwi
250	Szczegółylt; lt;	Detale & lt; lt;
251	Aktualny katalog (skrócony)	Biéżny katalog (krôtczé)
252	Szuflada na 500 arkuszy	Szëflôda na 500 bògów
253	6 - 1 rozszerzenie wyjścia + 1 5- pojemnikowa skrzynka pocztowa	6 - 1 rozszérz wińdzeniô + 1 5- zabiérnikòwô pòcztowô kastka
254	Liczba graczy:	Lëczba grôczów:
255	Błąd synchronizacji z dyskiem	Fela synchronizacëji z diskã
256	Port szeregowy # 1 (NetBSD)	Régòwi pòrt # 1 (NetBSD)
257	Uruchom nową & sesję	Zrëszë nową & sesëjã
258	Rotacja PBQShortcut	Zacwierdzë
259	Ta pozycja już istnieje.	Nen wpisënk ju je.
260	Pobieranie zewnętrznej listy odtwarzania	Ladowanié lëstë gróniô
261	Port	Pòrt
262	Kolory	Farwë
263	Szczegóły motywu pulpituComment	Wëdowiédzô ò témie pùltuComment
264	Typ papieru podawanego ręcznie	Ôrt papióru rãczno pòdawónégò
265	Większe lub równe. geq( a, b) =a≥b	Wiksze abò równe. geq( a, b) =a≥b
266	Włączanie	Włączanié
267	żaden błąd nie wystąpiłQRegExp	fela nie wëstãpiłaQRegExp
268	Uruchamianie programówComment	Zrëszôcz programówComment
269	Numer	Wielëna
270	Moduł informacji o systemie KDE	Mòduł wëdowiédzë ò systemie KDE
271	Proszę podać nazwę.	Proszã pòdac miono.
272	Zwiń	& Zwinie
273	Okno KDM Można tu skonfigurować podstawowy wygląd menedżera logowania w trybie okna dialogowego (napis, ikonę itd.). @ title: group 'man locale'...	Wëzdrzatk KDM Mòże tu skònfigùrowac pòdspòdlowi wëzdrzatk menadżera logòwania (titel òkna logòwania, logò ëtd). @ title: group 'man locale'...
274	gniazdo nie zostało jeszcze utworzoneSocket error code WouldBlock	gniôzdo nie òstało zrobionéSocket error code WouldBlock
275	BirmańskiName	BirmańscziName
276	Dwukanałowy wskaźnik wysterowania (VU- Meter) Name	Dwakanałowi miernik UVName
277	Plik% 1 został zmodyfikowany. Wysłać zmiany na serwer?	Lopk% 1 òstôł zmòdifikòwóny. Chcesz zladowac zmianë?
278	& Aktywne okna mają silniejszy cień	& Aktiwné òkna mają mòcnészą ceniã
279	Moduł KDED wstępnego wczytania KonqueroraComment	Mòduł wstãpnegò wladënkù KonqueroraComment
280	"Serwer nie zaakceptował adresu nadawcy ""% 1"".% 2"	"Serwera nie zaakceptowa adresë wësëlôrza ""% 1"".% 2"
281	Najbliższy rozmiar i skala	Nôblëższô miara ë skala
282	Wspierane standardy	Wspieróné sztandardë
283	Kliknij aby otworzyć:% 1	Klëkni bë òtemknąc% 1
284	Nowa nazwa jest pusta. Trzeba wpisać co najmniej jeden znak. @ info: status	Nowé miono je pùsté. Mùszi bëc wpisóny przënômni jeden céch. @ info: status
285	Wybierz czcionkę...	Wëbierzë fònt...
286	Nierówne. neq( a, b) =a≠b	Nie równe. neq( a, b) =a≠b
287	Inne urządzenia	Jinszé ùrządzenia
288	Opiekun	Òpiekùn
289	Afryka/ Akra	Afrika/ Akra
290	& Liczba wierszy:	Wielëna & réżków:
291	Konsola	Zamkni
292	Nie zawsze pod spodem	Nie trzëmôj w spòdkù
293	Nazwa: @ label: textbox	Wedle miona
